Store,Date,Sales,Store_Size,Num_Employees,Returns_Pct,Num_Customers,Pct_On_Sale,Marketing,Near_Xmas,Near_BlackFriday,Holiday,DestinationEvent,Pct_Promotional,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville,07/01/12,76819.4,20100,42,1.03,327,9.96,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID6.1339,0,0,No,No,4.71e-05,0.5,,0.02
Louisville,07/02/12,78963.86,20100,21,0.41,293,8.65,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID8.5144,0,0,No,No,4.71e-05,,,
Louisville,07/03/12,74824.71,20100,26,0.31,356,8.96,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID20.0807,0,0,No,No,4.71e-05,,,
Louisville,07/04/12,78523.92,20100,33,0.83,350,10.08,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID12.3747,0,0,Yes,No,4.71e-05,,,
Louisville,07/05/12,76445.9,20100,38,0.51,299,9.8,July In Store Credit Card Signup Discount; ID5.3119,0,0,No,No,4.71e-05,,,
Louisville,07/06/12,85096.96,20100,44,0.43,339,12.04,July In Store Credit Card Signup Discount; ID36.6079,0,0,No,No,4.71e-05,,,
Louisville,07/07/12,86807.56,20100,39,0.76,505,8.43,July In Store Credit Card Signup Discount; ID4.3752,0,0,No,No,4.71e-05,,750.0,
Louisville,07/08/12,78133.71,20100,41,0.59,333,11.07,July In Store Credit Card Signup Discount; ID20.3276,0,0,No,No,0.000693728,,,
Louisville,07/09/12,74186.36,20100,25,0.61,241,9.31,July In Store Credit Card Signup Discount; ID13.2671,0,0,No,No,0.000693728,,,
Louisville,07/10/12,73390.55,20100,24,0.33,241,6.98,July In Store Credit Card Signup Discount; ID44.6988,0,0,No,No,0.000693728,,,
Louisville,07/11/12,83331.85,20100,34,0.49,258,11.0,July In Store Credit Card Signup Discount; ID55.7791,0,0,No,No,0.000693728,,,
Louisville,07/12/12,81374.95,20100,32,0.92,281,9.05,July In Store Credit Card Signup Discount; ID47.8566,0,0,No,No,0.000693728,,,
Louisville,07/13/12,79509.64,20100,38,0.86,293,7.65,July In Store Credit Card Signup Discount; ID63.3107,0,0,No,No,0.000693728,,,
Louisville,07/14/12,81991.36,20100,36,0.5,379,9.79,July In Store Credit Card Signup Discount; ID44.1093,0,0,No,No,0.000693728,,1250.0,
Louisville,07/15/12,74095.57,20100,47,0.9,287,7.08,July In Store Credit Card Signup Discount; Summer Swim Mailer ID75.4052,0,0,No,No,0.001542543,,,
Louisville,07/16/12,77436.96,20100,25,0.65,247,9.61,July In Store Credit Card Signup Discount; Summer Swim Mailer ID56.8838,0,0,No,No,0.001542543,,,
Louisville,07/17/12,66526.71,20100,19,0.17,258,7.65,July In Store Credit Card Signup Discount; Summer Swim Mailer ID71.9272,0,0,No,No,0.001542543,,,
Louisville,07/18/12,75893.46,20100,19,0.76,270,6.36,July In Store Credit Card Signup Discount; Summer Swim Mailer ID89.3386,0,0,No,No,0.001542543,,,
Louisville,07/19/12,82891.17,20100,31,0.61,299,8.98,July In Store Credit Card Signup Discount; ID84.9644,0,0,No,No,0.001542543,,,
Louisville,07/20/12,76676.75,20100,34,1.07,299,8.48,July In Store Credit Card Signup Discount; ID90.2808,0,0,No,No,0.001542543,,,
Louisville,07/21/12,86973.98,20100,45,0.31,419,6.83,July In Store Credit Card Signup Discount; ID38.1519,0,0,No,No,0.001542543,,-3000.0,
Louisville,07/22/12,83580.91,20100,32,0.22,304,6.13,July In Store Credit Card Signup Discount; ID145.2652,0,0,No,No,0.001841075,,,
Louisville,07/23/12,73057.88,20100,36,0.54,253,8.04,July In Store Credit Card Signup Discount; ID153.2562,0,0,No,No,0.001841075,,,
Louisville,07/24/12,75312.2,20100,38,0.14,253,6.82,July In Store Credit Card Signup Discount; ID112.1737,0,0,No,No,0.001841075,,,
Louisville,07/25/12,82268.09,20100,39,0.77,281,6.23,July In Store Credit Card Signup Discount; ID129.864,0,0,No,No,0.001841075,,,
Louisville,07/26/12,73555.19,20100,45,1.19,287,10.93,July In Store Credit Card Signup Discount; ID60.6535,0,0,No,No,0.001841075,,,
Louisville,07/27/12,86210.85,20100,55,0.59,327,7.9,July In Store Credit Card Signup Discount; ID77.4283,0,0,No,No,0.001841075,,,
Louisville,07/28/12,98315.62,20100,60,0.78,413,9.88,July In Store Credit Card Signup Discount; ID34.5335,0,0,No,No,0.001841075,,250.0,
Louisville,07/29/12,79134.47,20100,30,0.5,293,9.83,July In Store Credit Card Signup Discount; ID187.4951,0,0,No,No,0.017232143,,,
Louisville,07/30/12,85570.89,20100,27,0.72,247,5.95,July In Store Credit Card Signup Discount; ID1.1934,0,0,No,No,0.017232143,,,
Louisville,07/31/12,73282.02,20100,27,0.44,235,7.91,July In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID81.6142,0,0,No,No,0.017232143,,,
Louisville,08/01/12,78907.07,20100,27,0.54,299,7.94,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.2822,0,0,No,No,0.017232143,,,0.071985582
Louisville,08/02/12,77663.51,20100,43,0.73,304,9.74,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.9739,0,0,No,No,0.017232143,,,
Louisville,08/03/12,80600.85,20100,37,0.31,316,11.57,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.147,0,0,No,No,0.017232143,,,
Louisville,08/04/12,90300.9,20100,40,0.88,425,8.29,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID24.5867,0,0,No,No,0.017232143,,3500.0,
Louisville,08/05/12,86291.42,20100,53,0.67,333,9.71,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID6.5476,0,0,No,No,0.044655973,,,
Louisville,08/06/12,74889.77,20100,22,0.35,235,10.83,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID25.2042,0,0,No,No,0.044655973,,,
